"<![CDATA[
    <p>We’ll try to show it again the next time you sign in to Magento Admin.</p>
    <p>To learn more about new features, see our latest Release Notes in
    <a href=""https://devdocs.magento.com/magento-release-information.html""
    target=""_blank"">DevDocs' Release Information</a>.
    </p>]]>","<![CDATA[
    <p>Wir werden versuchen, es beim nächsten Mal wieder anzuzeigen, wenn Sie sich bei Magento Admin anmelden.</p>
    <p>Um mehr über die neuen Funktionen zu erfahren, lesen Sie unsere neuesten Versionshinweise unter
    <a href=""https://devdocs.magento.com/magento-release-information.html""
    target=""_blank"">DevDocs' Release Information</a>.
    </p>]]>",module,Magento_ReleaseNotification"
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Warnung!</strong> Wenn Sie den Storecode in URLs verwenden, könnte das System in einigen Fällen nicht sauber arbeiten, wenn URLs ohne Storecodes in Third-Party-Services angegeben sind (z.B. PayPal etc.).
",module,Magento_Backend
"Base currency is used for all online payment transactions. The base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Die Basiswährung wird für alle Online-Transaktionen verwendet. Der Basiswährungs-Geltungsbereich wird durch den Katalogpreis-Geltungsbereich definiert (""""Katalog"""" > """"Preis"""" > """"Katalogpreis-Geltungsbereich"""").
",module,Magento_Directory
"If you select and save the rule you will be able to generate multiple coupon codes.","Wenn Sie die Regel auswählen und speichern, sind Sie in der Lage, mehrere Gutschein-Codes zu generieren.",module,Magento_SalesRule
"List of layout files with an update handle ""selectable""
matching *PageIdentifier*_*UpdateID*.
<br/>
See Magento documentation for more information","Liste der Layout-Dateien mit einem Update-Handle ""auswählbar"".
übereinstimmende *PageIdentifier*_*UpdateID*.
<br/>
Weitere Informationen finden Sie in der Magento-Dokumentation.",module,Magento_Cms
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo nur für HTML-Dokumente. Wenn leer, wird der Standard verwendet.<br /> (jpeg, gif, png)",module,Magento_Sales
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Händler müssen PayPal beantragen, um die Abrechnungsvereinbarungsfunktion anzuwenden. Aktivieren Sie diese Option nicht, bis PayPal bestätigt, dass die Abrechnungsvereinbarungen für Ihr Händler-Konto aktiviert sind.",module,Magento_Paypal
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Bitte nur Buchstaben (a-z oder A-Z) oder Zahlen (0-9) in diesem Bereich verwenden. Keine Leerzeichen oder andere Zeichen sind erlaubt. <br /> Ähnlich aussehende Zeichen (zB ""i"", ""L"", ""1"") kann die korrekte Erkennung für den Kunden erschweren.",module,Magento_Captcha
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Durch Semikolon (;) getrennte Werte <br/> Semikolon am Anfang für leere erste Option setzen <br/> Leer lassen für freies Textfeld.",module,Magento_Customer
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
Email template chosen based on theme fallback when ""Default"" option is selected.","Diese E-Mail wird anstelle der Standard-Willkommens-E-Mail versandt, nachdem das Konto bestätigt wurde. <br /><br />
Ausgewählte E-Mail-Vorlage basiert auf Theme-Fallback, wenn die Option ""Standard"" ausgewählt ist..",module,Magento_Customer
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
Email template chosen based on theme fallback when ""Default"" option is selected.","
Diese E-Mail wird anstelle der Standard-Willkommens-E-Mail versandt, wenn ein Kunde ohne Passwort angelegt wurde. <br /><br />
Ausgewählte E-Mail-Vorlage basiert auf Theme-Fallback, wenn die Option ""Standard"" ausgewählt ist.",module,Magento_Customer
"Usage limit enforced for logged in customers only.","Nutzungsbeschränkung nur für eingeloggte Kunden.",module,Magento_SalesRule
"Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.","Ihr vorgegebens Logo wird in PDF und HTML Dokumenten benutzt. (JPEG, TIFF, PNG) Sollte Ihre Datei verzerrt angezeigt werden, versuchen sie die Dateigröße zu erhöhen.",module,Magento_Sales
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/><strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financingfrom PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Warum für Finanzierung werben?</a><br/><strong>Geben Sie Ihren Verkäufen einen Schub, indem Sie für Finanzierung werben. </strong><br/>PayPal hilft, Ihre Besucher in Käufer zu verwandeln, mit der Finanzierung von PayPal Credit&#174;. Ihre Käufer haben mehr Zeit zu bezahlen, während Sie im Voraus bezahlt werden - ohne zusätzliche Kosten. Verwenden Sie PayPal's kostenlose Banner-Werbung, die es Ihnen ermöglicht, für PayPal Credit&#174 als Zahlungsoption zu werben, wenn Ihre Kunden mit PayPal bezahlen. Das PayPal-Werbeprogramm hat gezeigt, dass es Zusätzliche Käufe erzeugt den Größe des durchschnittlichen Einkaufs Ihrer Kunden um 15% oder mehr erhöht. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Details sehen</a>.",module,Magento_Paypal
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/><strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financingfrom PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Warum für Finanzierung werben?</a><br/><strong>Geben Sie Ihren Verkäufen einen Schub, indem Sie für Finanzierung werben. </strong><br/>PayPal hilft, Ihre Besucher in Käufer zu verwandeln, mit der Finanzierung von PayPal Credit&#174;. Ihre Käufer haben mehr Zeit zu bezahlen, während Sie im Voraus bezahlt werden - ohne zusätzliche Kosten. Verwenden Sie PayPal's kostenlose Banner-Werbung, die es Ihnen ermöglicht, für PayPal Credit&#174 als Zahlungsoption zu werben, wenn Ihre Kunden mit PayPal bezahlen. Das PayPal-Werbeprogramm hat gezeigt, dass es Zusätzliche Käufe erzeugt den Größe des durchschnittlichen Einkaufs Ihrer Kunden um 15% oder mehr erhöht. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Details sehen</a>.",module,Magento_Paypal
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/><strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financingfrom PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Warum für Finanzierung werben?</a><br/><strong>Geben Sie Ihren Verkäufen einen Schub, indem Sie für Finanzierung werben. </strong><br/>PayPal hilft, Ihre Besucher in Käufer zu verwandeln, mit der Finanzierung von PayPal Credit&#174;. Ihre Käufer haben mehr Zeit zu bezahlen, während Sie im Voraus bezahlt werden - ohne zusätzliche Kosten. Verwenden Sie PayPal's kostenlose Banner-Werbung, die es Ihnen ermöglicht, für PayPal Credit&#174 als Zahlungsoption zu werben, wenn Ihre Kunden mit PayPal bezahlen. Das PayPal-Werbeprogramm hat gezeigt, dass es Zusätzliche Käufe erzeugt den Größe des durchschnittlichen Einkaufs Ihrer Kunden um 15% oder mehr erhöht. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Details sehen</a>.",module,Magento_Paypal
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
<strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Warum für Finanzierung werben?</a><br/><strong>Geben Sie Ihren Verkäufen einen Schub, indem Sie für Finanzierung werben. </strong><br/>PayPal hilft, Ihre Besucher in Käufer zu verwandeln, mit der Finanzierung von PayPal Credit&#174;. Ihre Käufer haben mehr Zeit zu bezahlen, während Sie im Voraus bezahlt werden - ohne zusätzliche Kosten. Verwenden Sie PayPal's kostenlose Banner-Werbung, die es Ihnen ermöglicht, für PayPal Credit&#174 als Zahlungsoption zu werben, wenn Ihre Kunden mit PayPal bezahlen. Das PayPal-Werbeprogramm hat gezeigt, dass es Zusätzliche Käufe erzeugt den Größe des durchschnittlichen Einkaufs Ihrer Kunden um 15% oder mehr erhöht. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Details sehen</a>.",module,Magento_Paypal
"If you select and save the rule you will be able to generate multiple coupon codes.","Wenn Sie die Regel auswählen und speichern, können Sie mehrere Gutscheincodes generieren.",module,Magento_SalesRule
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Bitte beachten Sie, dass diese Einstellungen für einzelne Artikel im Warenkorb gelten, nicht für den gesamten Warenkorb.
",module,Magento_CatalogInventory
"See PayPal Feature Support details and list of supported regions 
<a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">here</a>.","Mehr zu PayPal Funktionalität Support Details und eine Liste der unterstützten Regionen
<a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">hier</a>.",module,Magento_Paypal
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","
Die Unterstützung von American Express Karten erfordert zusätzliche Vereinbarungen. Erfahren Sie mehr auf <a href=""""http://www.paypal.com/amexupdate"""">http://www.paypal.com/amexupdate</a>.",module,Magento_Paypal
"Time in seconds between the widget updates.
<br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
<br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.","Zeit in Sekunden zwischen den Updates des Widgets.
<br/>Wenn nicht gesetzt, entspricht dies 86400 Sekunden (24 Stunden). Um das Widget sofort zu aktualisieren, gehen Sie zur Cache-Verwaltung und löschen Sie den Blocks HTML Output Cache.
<br/>Widget zeigt keine Produkte an, die beginnen, den angegebenen Bedingungen zu entsprechen, bis der Cache aktualisiert wird.",module,Magento_CatalogWidget
"Time in seconds between the widget updates.
<br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
<br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.","Zeit in Sekunden zwischen den Updates des Widgets.
<br/>Wenn nicht gesetzt, entspricht dies 86400 Sekunden (24 Stunden). Um das Widget sofort zu aktualisieren, gehen Sie zur Cache-Verwaltung und löschen Sie den Blocks HTML Output Cache.
<br/>Widget zeigt keine Produkte an, die beginnen, den angegebenen Bedingungen zu entsprechen, bis der Cache aktualisiert wird.
",module,Magento_Catalog
"Usage limit enforced for logged in customers only.","Nutzungsbeschränkung wird nur für eingeloggte Kunden durchgesetzt.",module,Magento_SalesRule
All Store Views,Alle Store Views,module,Magento_Search
[deleted], [gelöscht],module,Magento_Backend
[deleted], [gelöscht],module,Magento_Sales
Copy, Kopie,module,Magento_Newsletter
Example: , Beispiel: ,module,Magento_Checkout
for more information or , für weitere Informationen oder,module,Magento_Shipping
Hour, Stunde,module,Dotdigitalgroup_Email
Hours, Stunden,module,Dotdigitalgroup_Email
in your cart.,im Warenkorb.,module,Amasty_Cart
is not available. You still can process offline actions., ist nicht verfügbar. Sie können weiterhin Offline-Aktionen ausführen.,module,Magento_Payment
is required., ist erforderlich.,module,Magento_Dhl
is required., ist erforderlich.,module,Magento_Fedex
is required., ist erforderlich.,module,Magento_OfflineShipping
is required., ist erforderlich.,module,Magento_Ups
is required., ist erforderlich,module,Magento_Usps
item, Artikel,module,Magento_Checkout
items, Artikel,module,Magento_Checkout
" or call us at <a href=""tel:%store_phone"">%store_phone</a>"," oder rufen Sie uns an unter <a href=""tel:%store_phone"">%store_phone</a>.",module,Temando_Shipping
to learn more., um mehr zu erfahren.,module,Magento_Paypal
" Transaction ID: ""%1""","Transaktions-ID: ""%1""",module,Magento_Theme
unread), ungelesen),module,Magento_AdminNotification
--,--,module,Amazon_Core
-- All --,-- Alle --,module,Magento_Theme
-- Disabled --,-- Deaktiviert --,module,Dotdigitalgroup_Email
-- First Please Select a Website --,-- Wählen Sie bitte zunächst eine Website --,module,Magento_Theme
-- No Page --,-- Keine Seite --,module,FireGento_MageSetup
-- No Theme --,-- Kein Theme --,module,Magento_Theme
-- None --,-- Keine --,module,Magento_Theme
-- Not Selected --,-- Nicht ausgewählt --,module,Magento_ImportExport
-- Please Select --,-- Bitte auswählen --,module,Magento_Theme
-- Please select --,-- Bitte auswählen --,module,Magento_Theme
-- Please Select a Category --,-- Bitte wählen Sie eine Kategorie --,module,Magento_Theme
-- Please Select Billing Agreement--,-- Bitte wählen Sie die Abrechnungsvereinbarung --,module,Magento_Theme
-- Select --,-- Auswählen --,module,Magento_Theme
---- Default Option ----,---- Standardoption -----,module,Dotdigitalgroup_Email
--Please Select--,-- Bitte auswählen --,module,Magento_Theme
", %1 failed to update",%1 konnte nicht aktualisiert werden.,module,Magento_AsynchronousOperations
", %1 successfully updated",%1 erfolgreich aktualisiert,module,Magento_AsynchronousOperations
.,.,module,Magento_Theme
. ' Field #%1',. Feld #%1'.,module,Vertex_Tax
". ', e.g. <i>product_images</i>, <i>import_images/batch1</i>.<br><br>For example, in case <i>product_images</i>, files should be placed into <i>&lt;Magento root directory&gt;/' . . '/product_images</i> folder.' 'i' 'br'",". z.B. <i>product_images</i>, <i>import_images/batch1</i>.<br><br>.br><br> Im Fall <i>product_images</i> sollten die Dateien z.B. in <i>&lt;Magento Stammverzeichnis&gt;/' . '/product_images</i> folder' abgelegt werden. 'i' 'br'",module,Magento_ImportExport
. ': %error_message',. ': %error_message'.,module,Magento_AdobeStockClient
. ':',. ':',module,Magento_Shipping
". "" type not defined in schema.""",". "" Typ nicht im Schema definiert"".",module,Magento_CatalogGraphQl
". "" which is inconsistent with state of scope resolver""",". "" was unvereinbar mit dem Status des Umfangsauflösers ist.""",module,Magento_CatalogSearch
'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.,"'*' - entspricht einem beliebigen; 'xyz*' - entspricht einem beliebigen, der mit 'xyz' beginnt und nicht länger als %1 ist.",module,Magento_Tax
'%1' file extension is not supported,Die Dateiendung '%1' wird nicht unterstützt.,module,Magento_ImportExport
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","%value%' scheint ein DNS-Hostname zu sein, aber die angegebene Punycode-Notation kann nicht dekodiert werden.",module,Magento_Customer
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","%value%' scheint ein DNS-Hostname zu sein, aber die angegebene Punycode-Notation kann nicht dekodiert werden.",module,Magento_Eav
'%value%' does not look like a valid local network name.,%value%' sieht nicht wie ein gültiger lokaler Netzwerkname aus.,module,Magento_Customer
'%value%' does not look like a valid local network name.,%value%' sieht nicht wie ein gültiger lokaler Netzwerkname aus.,module,Magento_Eav
'%value%' looks like a DNS hostname but cannot extract TLD part.,"%value%' sieht aus wie ein DNS-Hostname, kann aber keinen TLD-Teil extrahieren.",module,Magento_Customer
'%value%' looks like a DNS hostname but cannot extract TLD part.,"%value%' sieht aus wie ein DNS-Hostname, kann aber keinen TLD-Teil extrahieren.",module,Magento_Eav
'%value%' looks like a DNS hostname but contains a dash in an invalid position.,"%value%' sieht aus wie ein DNS-Hostname, enthält aber einen Bindestrich an einer ungültigen Stelle.",module,Magento_Customer
'%value%' looks like a DNS hostname but contains a dash in an invalid position.,"%value%' sieht aus wie ein DNS-Hostname, enthält aber einen Bindestrich an einer ungültigen Stelle.",module,Magento_Eav
'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.,"%value%' sieht aus wie ein DNS-Hostname, aber wir können ihn nicht mit dem Hostnamenschema für die TLD'%tld%' vergleichen.",module,Magento_Customer
'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.,"%value%' sieht aus wie ein DNS-Hostname, aber wir können ihn nicht mit dem Hostnamenschema für die TLD'%tld%' vergleichen.",module,Magento_Eav
"'%value%' looks like a local network name, which is not an acceptable format.","%value%' sieht aus wie ein lokaler Netzwerkname, was kein akzeptables Format ist.",module,Magento_Customer
"'%value%' looks like a local network name, which is not an acceptable format.","%value%' sieht aus wie ein lokaler Netzwerkname, was kein akzeptables Format ist.",module,Magento_Eav
"'%value%' looks like an IP address, which is not an acceptable format.","%value%' sieht aus wie eine IP-Adresse, was kein akzeptables Format ist.",module,Magento_Customer
"'%value%' looks like an IP address, which is not an acceptable format.","%value%' sieht aus wie eine IP-Adresse, was kein akzeptables Format ist.",module,Magento_Eav
'Action Details - #' .,Action Details - #' .,module,Magento_AsynchronousOperations
'category_id' only supports 'eq' condition type.,Die 'category_id' unterstützt nur die Konditionsart 'eq'.,module,Magento_CatalogGraphQl
'Entity type model must be an instance of ' .,Das Entitätstypmodell muss eine Instanz von folgendem sein '.,module,Magento_CatalogImportExport
'Error in CSV: ' .,'Fehler in CSV: ' .,module,Magento_ImportExport
'Invalid Api Version: ' .,Ungültige Api-Version: ' .,module,Klarna_Core
'Object is not instance of ' .,Objekt ist keine Instanz von '.,module,Magento_Config
'Rule validation error: attribute attribute must be of type ' .,Regelvalidierungsfehler: Attributattribut muss vom Typ ' sein.,module,Dotdigitalgroup_Email
'search' or 'filter' input argument is required.,"Das Eingabeargument ""Suche"" oder ""Filter"" ist erforderlich.",module,Magento_CatalogGraphQl
'The coupon code couldn't be applied: ' .,Der Gutscheincode konnte nicht angewendet werden: '.,module,Magento_Quote
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","Das XML in der Datei ""%1"" ist ungültig:'. ""\n%2\nÜberprüfe das XML und versuche es erneut.""",module,Magento_Config
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","Das XML in der Datei ""%1"" ist ungültig:'. ""\n%2\nÜberprüfe das XML und versuche es erneut.""",module,Magento_Ui
"'The XML in file ""%1"" is invalid.' . ""\n%2\nVerify the XML and try again.""","Das XML in der Datei ""%1"" ist ungültig. . ""\n%2\nÜberprüfe das XML und versuche es erneut.""",module,Magento_Ui
'There is no defined type ' .,Es gibt keinen definierten Typ '.,module,Magento_Config
'There was a problem connecting to the API: ' .,Es gab ein Problem bei der Verbindung mit der API: ' .,module,Dotdigitalgroup_Email
’Internal Promotions’ for promotions field “Label”.,"""Interne Promotions"" für Promotionfeld ""Label""",module,Magento_Theme
"""%1"" cannot contain more than %2 lines.","""%1"" kann nicht aus mehr als %2 Zeilen bestehen.",module,Magento_Theme
"""%1"" contains non-alphabetic characters.","""%1"" enthält nicht-alphabetische Zeichen.",module,Magento_Theme
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" enthält nicht-alphabetische oder nicht-numerische Zeichen.",module,Magento_Theme
"""%1"" contains non-numeric characters.","""%1"" enthält nicht-numerische Zeichen.",module,Magento_Theme
"""%1"" coupon code is not valid.","""%1"" Gutscheincode ist ungültig.",module,Magento_Theme
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","""%1"" Gutschein-Code wurde nicht angewendet. Rabatt gilt nicht für die ausgewählten Artikel.",module,Magento_Theme
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","""%1"" Gutschein-Code wurde nicht angewendet. Rabatt gilt nicht für die ausgewählten Artikel.",module,Magento_Sales
"""%1"" does not fit the entered date format.","""%1"" passt nicht in das eingegebene Datumsformat.",module,Magento_Theme
"""%1"" exceeds the allowed file size.","""%1"" überschreitet die erlaubte Dateigröße.",module,Magento_Theme
"""%1"" height exceeds allowed value of %2 px.","Höhe von ""%1"" überschreitet den erlaubten Wert von %2 px.",module,Magento_Theme
"""%1"" invalid type entered.","""%1"" Ungültigen Typ eingegeben",module,Magento_Theme
"""%1"" is a required value.","""%1"" ist ein erforderlicher Wert.",module,Magento_Theme
"""%1"" is already present in %2.","""%1"" ist in %2 bereits vorhanden.",module,Magento_Theme
"""%1"" is an empty string.","""%1"" ist eine leere Zeichenfolge.",module,Magento_Theme
"""%1"" is longer than allowed.","""%1"" ist länger als erlaubt.",module,Magento_Theme
"""%1"" is not a valid date.","""%1"" ist kein gültiges Datum.",module,Magento_Theme
"""%1"" is not a valid email address.","""%1"" ist keine gültige E-Mail-Adresse.",module,Magento_Theme
"""%1"" is not a valid file extension.","""%1"" ist keine gültige Dateierweiterung.",module,Magento_Theme
"""%1"" is not a valid file.","""%1"" ist keine gültige Datei.",module,Magento_Theme
"""%1"" is not a valid hostname.","""%1"" ist kein gültiger Hostname.",module,Magento_Theme
"""%1"" is not a valid image format","""%1"" ist kein gültiges Bildformat",module,Magento_Theme
"""%1"" is not a valid image format.","""%1"" ist kein gültiges Bildformat.",module,Magento_Theme
"""%1"" is not a valid URL.","""%1"" ist keine gültige URL.",module,Magento_Theme
"""%1"" length must be equal or greater than %2 characters.","Länge von ""%1"" muss gleich oder mehr als %2 Zeichen sein.",module,Magento_Theme
"""%1"" length must be equal or less than %2 characters.","Länge von ""%1"" muss gleich oder weniger als %2 Zeichen sein.",module,Magento_Theme
"""%1"" prefix is reserved by the system and cannot be used in attribute code names.","Das Präfix ""%1"" ist vom System reserviert und kann nicht in Attribut-Codenamen verwendet werden.",module,Magento_Eav
"""%1"" section source is not supported","""%1"" Abschnittsquelle wird nicht unterstützt.",module,Magento_Theme
"""%1"" uses too many characters.","""%1"" verwendet zu viele Zeichen.",module,Magento_Theme
"""%1"" was copied to %2.","""%1"" wurde nach %2 kopiert.",module,Magento_Theme
"""%1"" was moved to %2.","""%1"" wurde nach %2 verschoben.",module,Magento_Theme
"""%1"" width exceeds allowed value of %2 px.","Breite von ""%1"" überschreitet den erlaubten Wert von %2 px.",module,Magento_Theme
"""%field"" can not be empty.","""%field"" darf nicht leer sein.",module,Magento_InventoryReservations
"""%field"" can not be empty.","""%field"" darf nicht leer sein.",module,Magento_InventorySales
"""%field"" can not be empty.","""%field"" darf nicht leer sein.",module,Magento_Inventory
"""%field"" can not be null.","""%field"" kann nicht Null sein.",module,Magento_InventoryReservations
"""%field"" can not contain whitespaces.","""%field"" darf keine Leerzeichen enthalten.",module,Magento_Inventory
"""%field"" is expected to be a number.","""%field"" wird als Zahl erwartet.",module,Magento_InventoryReservations
"""%field"" must be list of SourceCarrierLinkInterface.","""%field"" muss die Liste der SourceCarrierLinkInterface sein.",module,Magento_InventoryShipping
"""%field"" should a known status.","""%feld"" sollte einen bekannten Status haben.",module,Magento_Inventory
"""%field"" should be greater then 0.","""%field"" sollte größer als 0 sein.",module,Magento_Inventory
"""%field"" should be numeric.","""%field"" sollte numerisch sein.",module,Magento_Inventory
"""%fieldName"" is required. Enter and try again.","""%fieldName"" ist erforderlich. Bitte geben sie einen Wert ein und versuchen Sie es erneut.",module,Magento_Bundle
"""%fieldName"" is required. Enter and try again.","""%fieldName"" ist erforderlich. Geben Sie es ein und versuchen Sie es erneut.",module,Magento_Customer
"""%fieldName"" is required. Enter and try again.","""%fieldName"" ist erforderlich. Geben Sie es ein und versuchen Sie es erneut.",module,Magento_Integration
"""%fieldName"" is required. Enter and try again.","""%fieldName"" ist erforderlich. Geben Sie es ein und versuchen Sie es erneut.",module,Magento_Tax
"""Attribute code should be specified","""Attributcode sollte angegeben werden",module,Magento_EavGraphQl
"""Cap Reward Points Balance"" should be either a positive number or left empty.","""Belohnungspunkteguthaben"" sollte entweder eine positive Zahl oder leer sein.",module,Magento_Theme
"""Creditmemo Document Validation Error(s):\n"" .","""Gutschriftendokumentvalidierungsfehler:\n"" .",module,Magento_Sales
"""Email should be specified","""E-Mail sollte angegeben werden",module,Magento_CustomerGraphQl
